img_name,trauma,doc_typ
1_137_1.png,1,1
1_138_1.png,1,1
1_139_1.png,1,1
1_141_1.png,1,1
1_142_1.png,1,1
1_143_1.png,1,1
1_144_1.png,1,1
1_145_1.png,0,1
1_147_1.png,0,1
1_148_1.png,1,1
1_149_1.png,1,1
1_151_1.png,1,1
1_155_1.png,0,1
1_156_1.png,0,1
1_157_1.png,0,1
1_158_1.png,0,1
1_159_1.png,1,1
1_160_1.png,1,1
1_161_1.png,1,1
1_162_1.png,1,1
1_163_1.png,0,1
1_166_1.png,1,1
1_170_1.png,0,1
1_171_1.png,0,1
1_172_1.png,1,1
1_173_1.png,1,1
1_174_1.png,1,1
1_175_1.png,1,1
1_176_1.png,1,1
1_178_1.png,0,1
1_179_1.png,1,1
1_180_1.png,1,1
1_181_1.png,0,1
1_182_1.png,0,1
1_183_1.png,1,1
1_184_1.png,1,1
1_185_1.png,1,1
1_186_1.png,1,1
1_187_1.png,1,1
1_190_1.png,0,1
1_191_1.png,1,1
1_192_1.png,1,1
1_193_1.png,1,1
1_194_1.png,0,1
1_195_1.png,1,1
1_199_1.png,1,1
1_200_1.png,1,1
1_202_1.png,1,1
1_203_1.png,1,1
1_206_1.png,1,1
1_207_1.png,1,1
1_209_1.png,1,1
1_210_1.png,1,1
1_211_1.png,0,1
1_214_1.png,1,1
1_215_1.png,1,1
1_216_1.png,0,1
1_217_1.png,1,1
1_219_1.png,1,1
1_220_1.png,1,1
1_221_1.png,0,1
1_226_1.png,1,1
1_227_1.png,1,1
1_229_1.png,0,1
1_230_1.png,1,1
1_231_1.png,0,1
1_235_1.png,1,1
1_236_1.png,0,1
1_237_1.png,1,1
1_239_1.png,0,1
1_243_1.png,1,1
1_244_1.png,0,1
1_245_1.png,0,1
1_247_1.png,1,1
1_248_1.png,1,1
1_249_1.png,0,1
1_250_1.png,1,1
1_251_1.png,0,1
1_253_1.png,1,1
1_256_1.png,1,1
2_137_1.png,1,1
2_138_1.png,1,1
2_139_1.png,1,1
2_141_1.png,1,1
2_142_1.png,1,1
2_143_1.png,1,1
2_144_1.png,1,1
2_145_1.png,0,1
2_147_1.png,0,1
2_148_1.png,1,1
2_149_1.png,1,1
2_151_1.png,1,1
2_155_1.png,0,1
2_156_1.png,0,1
2_157_1.png,0,1
2_158_1.png,0,1
2_159_1.png,1,1
2_160_1.png,1,1
2_161_1.png,1,1
2_162_1.png,1,1
2_163_1.png,0,1
2_166_1.png,1,1
2_170_1.png,0,1
2_171_1.png,0,1
2_172_1.png,1,1
2_173_1.png,1,1
2_174_1.png,1,1
2_175_1.png,1,1
2_176_1.png,1,1
2_178_1.png,0,1
2_179_1.png,1,1
2_180_1.png,1,1
2_181_1.png,0,1
2_182_1.png,0,1
2_183_1.png,1,1
2_184_1.png,1,1
2_185_1.png,1,1
2_186_1.png,1,1
2_187_1.png,1,1
2_190_1.png,0,1
2_191_1.png,1,1
2_192_1.png,1,1
2_193_1.png,1,1
2_194_1.png,0,1
2_195_1.png,1,1
2_199_1.png,1,1
2_200_1.png,1,1
2_202_1.png,1,1
2_203_1.png,1,1
2_206_1.png,1,1
2_207_1.png,1,1
2_209_1.png,1,1
2_210_1.png,1,1
2_211_1.png,0,1
2_214_1.png,1,1
2_215_1.png,1,1
2_216_1.png,0,1
2_217_1.png,1,1
2_219_1.png,1,1
2_220_1.png,1,1
2_221_1.png,0,1
2_226_1.png,1,1
2_227_1.png,1,1
2_229_1.png,0,1
2_230_1.png,1,1
2_231_1.png,0,1
2_235_1.png,1,1
2_236_1.png,0,1
2_237_1.png,1,1
2_239_1.png,0,1
2_243_1.png,1,1
2_244_1.png,0,1
2_245_1.png,0,1
2_247_1.png,1,1
2_248_1.png,1,1
2_249_1.png,0,1
2_250_1.png,1,1
2_251_1.png,0,1
2_253_1.png,1,1
2_256_1.png,1,1
3_137_1.png,1,1
3_138_1.png,1,1
3_139_1.png,1,1
3_141_1.png,1,1
3_142_1.png,1,1
3_143_1.png,1,1
3_144_1.png,1,1
3_145_1.png,0,1
3_147_1.png,0,1
3_148_1.png,1,1
3_149_1.png,1,1
3_151_1.png,1,1
3_155_1.png,0,1
3_156_1.png,0,1
3_157_1.png,0,1
3_158_1.png,0,1
3_159_1.png,1,1
3_160_1.png,1,1
3_161_1.png,1,1
3_162_1.png,1,1
3_163_1.png,0,1
3_166_1.png,1,1
3_170_1.png,0,1
3_171_1.png,0,1
3_172_1.png,1,1
3_173_1.png,1,1
3_174_1.png,1,1
3_175_1.png,1,1
3_176_1.png,1,1
3_178_1.png,0,1
3_179_1.png,1,1
3_180_1.png,1,1
3_181_1.png,0,1
3_182_1.png,0,1
3_183_1.png,1,1
3_184_1.png,1,1
3_185_1.png,1,1
3_186_1.png,1,1
3_187_1.png,1,1
3_190_1.png,0,1
3_191_1.png,1,1
3_192_1.png,1,1
3_193_1.png,1,1
3_194_1.png,0,1
3_195_1.png,1,1
3_199_1.png,1,1
3_200_1.png,1,1
3_202_1.png,1,1
3_203_1.png,1,1
3_206_1.png,1,1
3_207_1.png,1,1
3_209_1.png,1,1
3_210_1.png,1,1
3_211_1.png,0,1
3_214_1.png,1,1
3_215_1.png,1,1
3_216_1.png,0,1
3_217_1.png,1,1
3_219_1.png,1,1
